model,task_id,passed,fail_reason,gen_tps,eval_count,total_ms,error
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/0,1,,43.4492058791307,163,5569.008350372314,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/1,1,,42.201044497164965,198,5970.033884048462,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/2,1,,43.32825773742695,91,3314.936876296997,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/3,1,,41.94582255482071,152,4844.684600830078,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/4,1,,41.685017585866795,168,5080.548048019409,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/5,1,,42.76296887256769,128,4101.27854347229,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/6,1,,42.118824192980924,235,6931.13374710083,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/7,1,,41.71689248086784,105,3793.3623790740967,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/8,1,,42.000242963430814,158,4944.564342498779,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/9,1,,42.75015745865449,161,4921.442031860352,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/10,0,AssertionError,41.89258358793179,197,6114.602088928223,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/11,1,,42.20804632886297,103,3808.969497680664,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/12,1,,41.962218301537256,155,4906.457185745239,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/13,1,,41.31355791028028,93,3304.004192352295,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/14,1,,42.27366025344773,74,2553.203582763672,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/15,1,,41.8644027500261,81,2915.6365394592285,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/16,1,,41.82389608302704,76,2783.2155227661133,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/17,1,,41.298616598568245,202,6327.723503112793,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/18,1,,41.74764658905209,139,4615.9937381744385,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/19,1,,42.16685218717006,206,5921.875953674316,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/20,0,AssertionError,42.11691656037159,238,7094.069242477417,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/21,0,SyntaxError: unterminated triple-quoted string literal (detected at line 35),42.32932002804838,122,4284.918546676636,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/22,1,,41.45801112890954,105,3759.5176696777344,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/23,1,,40.5646950786394,47,1930.9625625610352,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/24,1,,41.002280239309805,80,2772.9432582855225,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/25,1,,41.76201470912928,244,7117.007493972778,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/26,0,AssertionError,41.50850994216016,119,3791.0265922546387,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/27,1,,40.46382331876186,60,2692.424535751343,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/28,1,,41.48922217076964,62,2294.337272644043,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/29,1,,42.14062454108222,99,3505.8629512786865,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/30,1,,42.354099020003744,131,4512.415409088135,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/31,1,,41.26007173280629,152,5068.199396133423,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/32,0,AssertionError,41.29572878369575,447,12788.23709487915,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/33,1,,41.78323147670105,261,7561.355352401733,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/34,1,,40.158105399355215,82,3023.790121078491,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/35,1,,42.529982469234696,91,3259.8044872283936,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/36,1,,41.282081734711184,130,4105.262517929077,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/37,0,IndexError: list index out of range,41.08381020128367,213,6467.555046081543,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/38,1,,40.58433867741167,257,7991.15777015686,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/39,0,AssertionError,41.36924755488181,222,6806.366205215454,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/40,1,,40.847785203793016,251,7851.063013076782,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/41,1,,41.36433360335051,156,5389.31679725647,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/42,1,,40.61620016449561,124,4410.782337188721,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/43,1,,42.036840007562134,187,5953.778266906738,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/44,1,,40.95110121474176,155,5072.242736816406,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/45,1,,39.679362409330885,56,2631.9973468780518,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/46,0,AssertionError,41.87518340220003,264,7859.918832778931,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/47,1,,42.33272256270929,134,4294.586896896362,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/48,1,,42.69733283994193,78,2726.599931716919,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/49,1,,42.101385398713276,144,4831.108808517456,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/50,1,,41.58162997961148,123,4115.968227386475,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/51,1,,41.38983110977963,147,5028.808832168579,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/52,1,,42.31851435002814,94,3637.5441551208496,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/53,1,,41.292756318124724,62,2413.8121604919434,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/54,0,AssertionError,42.21654894347457,150,4940.175771713257,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/55,1,,42.27302447687132,107,3552.0331859588623,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/56,1,,41.075160745516996,145,4842.1971797943115,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/57,1,,42.2598238170578,146,4626.646518707275,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/58,1,,41.56043942410878,134,4756.945371627808,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/59,1,,41.843313007072304,160,4928.560018539429,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/60,1,,40.82868744290641,115,3858.9930534362793,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/61,1,,41.618185388499896,142,4419.030666351318,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/62,1,,41.86079472883599,127,4173.0053424835205,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/63,1,,40.22108713245588,231,7381.823301315308,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/64,1,,41.3999837769831,172,5563.822984695435,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/65,0,AssertionError,41.80684017791705,130,4440.395355224609,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/66,1,,40.79176201233677,134,4865.665674209595,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/67,1,,41.57719171016313,330,10173.144817352295,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/68,0,AttributeError: 'int' object has no attribute 'value',40.93524065498854,398,12188.832521438599,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/69,0,AssertionError,42.7564412578755,45,2679.3322563171387,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/70,0,ValueError: list.remove(x): x not in list,40.4515549288775,182,6114.635944366455,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/71,1,,41.7723705072101,201,6361.270189285278,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/72,1,,41.29954322705191,245,8096.626996994019,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/73,1,,41.76883603721486,214,6427.593231201172,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/74,0,AssertionError,41.64171133928185,222,6980.886697769165,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/75,0,AssertionError,41.40335585094792,190,5702.680349349976,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/76,1,,41.89169817816932,192,5956.176280975342,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/77,0,TypeError: type complex doesn't define __round__ method,41.59191023929101,124,4080.655574798584,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/78,1,,41.27207490835223,356,11193.42827796936,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/79,1,,41.3845108065018,181,5781.517267227173,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/80,1,,41.78757571798753,190,5678.078651428223,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/81,0,SyntaxError: invalid syntax,41.38495060520236,512,14524.563789367676,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/82,1,,41.67063529859987,140,4765.564441680908,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/83,0,AssertionError,41.44195077707027,123,3936.5103244781494,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/84,1,,41.63438724526715,163,5591.721057891846,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/85,1,,41.48056635466284,83,2821.24400138855,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/86,0,"TypeError: sequence item 0: expected str instance, list found",41.38979402933408,143,4751.545429229736,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/87,0,AssertionError,40.932375301725784,306,9799.750089645386,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/88,1,,41.6412006098421,279,8741.082668304443,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/89,0,AssertionError: This prints if this assert fails 1 (good for debugging!),41.29300751873298,194,5907.137155532837,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/90,0,AssertionError,42.047585853590306,147,4877.32720375061,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/91,0,AssertionError: Test 2,40.31876890453088,148,5049.707412719727,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/92,1,,41.71257863303299,173,5519.1240310668945,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/93,0,AssertionError: This prints if this assert fails 1 (good for debugging!),41.15459017350739,222,6579.462766647339,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/94,1,,41.45082230912935,419,12332.22222328186,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/95,1,,41.45227033541584,229,7354.831218719482,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/96,1,,41.61341643611537,246,7486.712694168091,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/97,1,,41.660735798028746,168,5455.059766769409,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/98,1,,41.232109682124,105,3745.1372146606445,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/99,1,,40.869371630330576,199,6397.057056427002,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/100,0,AssertionError: Test 4,40.848651042806175,191,6028.777837753296,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/101,0,AssertionError,40.909743908174434,129,4573.491096496582,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/102,0,AssertionError,40.82437719889728,178,5500.133514404297,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/103,0,AssertionError,41.652907609127396,194,6218.295574188232,
qwen2.5-coder:1.5b-instruct-q4_K_M,HumanEval/104,1,,41.89055335341307,141,4688.74454498291,
